inside_temp,seat_heater_rear_right_back,fan_status,is_preconditioning,seat_heater_left,seat_heater_rear_right,is_front_defroster_on,min_avail_temp,is_rear_defroster_on,battery_heater,max_avail_temp,passenger_temp_setting,side_mirror_heaters,battery_heater_no_power,right_temp_direction,driver_temp_setting,seat_heater_right,left_temp_direction,timestamp,seat_heater_rear_center,wiper_blade_heater,is_auto_conditioning_on,seat_heater_rear_left,smart_preconditioning,is_climate_on,seat_heater_rear_left_back,steering_wheel_heater,outside_temp
30.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536202658104,False,False,False,False,False,False,0,False,25.0
29.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536202845108,False,False,False,False,False,False,0,False,25.0
29.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203031009,False,False,False,False,False,False,0,False,25.5
29.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203216978,False,False,False,False,False,False,0,False,25.5
29.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203323853,False,False,False,False,False,False,0,False,25.5
29.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203403498,False,False,False,False,False,False,0,False,25.5
29.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203589974,False,False,False,False,False,False,0,False,25.5
29.7,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203776888,False,False,False,False,False,False,0,False,25.5
29.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203941224,False,False,False,False,False,False,0,False,25.5
29.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536203952425,False,False,False,False,False,False,0,False,25.5
29.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536204228893,False,False,False,False,False,False,0,False,25.5
29.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536205135069,False,False,False,False,False,False,0,False,26.0
29.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536206041066,False,False,False,False,False,False,0,False,26.0
26.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536206946797,False,False,False,False,False,False,0,False,19.5
24.5,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536207559413,False,False,False,False,False,False,0,False,18.0
24.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536207851743,False,False,False,False,False,False,0,False,18.0
22.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536208756415,False,False,False,False,False,False,0,False,20.5
27.1,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536209661235,False,False,False,False,False,False,0,False,22.0
22.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536210575712,False,False,False,False,False,False,0,False,23.0
27.2,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536211165833,False,False,False,False,False,False,0,False,23.5
27.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536211482643,False,False,False,False,False,False,0,False,23.5
27.4,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536212387698,False,False,False,False,False,False,0,False,24.0
24.0,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536213293611,False,False,False,False,False,False,0,False,24.0
26.2,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536214198674,False,False,False,False,False,False,0,False,24.5
25.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536214772127,False,False,False,False,False,False,0,False,24.5
25.6,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536215105807,False,False,False,False,False,False,0,False,24.5
24.9,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536219612646,False,False,False,False,False,False,0,False,24.5
24.8,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536220518489,False,False,False,False,False,False,0,False,24.5
27.3,0,0,False,False,False,False,15.0,False,False,28.0,22.2,False,,0,22.2,False,0,1536221426823,False,False,False,False,False,False,0,False,25.0
